loading app ./flowmanager/flowmanager.py
loading app ryu.app.simple_switch_13
loading app ryu.topology.switches
loading app ryu.controller.ofp_handler
creating context wsgi
instantiating app None of DPSet
creating context dpset
instantiating app ./flowmanager/flowmanager.py of FlowManager
Created flowmanager
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.topology.switches of Switches
instantiating app ryu.controller.ofp_handler of OFPHandler
(27) wsgi starting up on http://0.0.0.0:5534
packet in 7 62:a9:8f:34:e0:7d 33:33:00:00:00:02 2
packet in 8 62:a9:8f:34:e0:7d 33:33:00:00:00:16 2
packet in 8 62:a9:8f:34:e0:7d 33:33:00:00:00:02 2
packet in 6 62:a9:8f:34:e0:7d 33:33:00:00:00:16 3
packet in 6 62:a9:8f:34:e0:7d 33:33:00:00:00:02 3
packet in 8 f6:97:e5:6e:18:e2 33:33:00:00:00:16 1
packet in 8 f6:97:e5:6e:18:e2 33:33:00:00:00:02 1
packet in 7 f6:97:e5:6e:18:e2 33:33:00:00:00:16 4
packet in 7 f6:97:e5:6e:18:e2 33:33:00:00:00:02 4
packet in 7 32:70:e7:f4:23:50 33:33:00:00:00:16 1
packet in 8 32:70:e7:f4:23:50 33:33:00:00:00:16 2
packet in 6 32:70:e7:f4:23:50 33:33:00:00:00:16 3
packet in 7 36:69:88:03:73:ee 33:33:00:00:00:16 2
packet in 7 36:69:88:03:73:ee 33:33:00:00:00:02 2
packet in 8 36:69:88:03:73:ee 33:33:00:00:00:16 2
packet in 8 36:69:88:03:73:ee 33:33:00:00:00:02 2
packet in 6 36:69:88:03:73:ee 33:33:00:00:00:16 3
packet in 6 36:69:88:03:73:ee 33:33:00:00:00:02 3
packet in 6 72:7b:59:3f:48:68 33:33:00:00:00:16 1
packet in 6 72:7b:59:3f:48:68 33:33:00:00:00:02 1
packet in 8 26:57:40:76:d6:58 33:33:00:00:00:16 2
packet in 8 26:57:40:76:d6:58 33:33:00:00:00:02 2
packet in 8 72:7b:59:3f:48:68 33:33:00:00:00:16 1
packet in 8 72:7b:59:3f:48:68 33:33:00:00:00:02 1
packet in 6 26:57:40:76:d6:58 33:33:00:00:00:16 3
packet in 6 26:57:40:76:d6:58 33:33:00:00:00:02 3
packet in 7 ca:6d:5e:2d:d8:b0 33:33:00:00:00:16 3
packet in 7 9a:28:d4:8b:4b:f2 33:33:00:00:00:16 3
packet in 7 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 7 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
packet in 7 72:7b:59:3f:48:68 33:33:00:00:00:16 4
packet in 7 72:7b:59:3f:48:68 33:33:00:00:00:02 4
packet in 8 ca:6d:5e:2d:d8:b0 33:33:00:00:00:16 2
packet in 8 9a:28:d4:8b:4b:f2 33:33:00:00:00:16 2
packet in 8 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 2
packet in 8 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 2
packet in 6 ca:6d:5e:2d:d8:b0 33:33:00:00:00:16 3
packet in 6 9a:28:d4:8b:4b:f2 33:33:00:00:00:02 3
packet in 6 9a:28:d4:8b:4b:f2 33:33:00:00:00:16 3
packet in 6 ca:6d:5e:2d:d8:b0 33:33:00:00:00:02 3
